domains,unicode,descript-IDNA,translate-IDNA,tags
10873,,,,5D
13610,,,,5D
24107,,,,5D
25569,,,,5D
51012,,,,5D
66100,,,,5D
73810,,,,5D
74227,,,,5D
80100,,,,5D
98100,,,,5D
99100,,,,5D
1357924680,,,,
brandapparel,,,,
xn--dis,垽,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
vatersreith,,,,
evolvefish,,,,
goldsecret,,,,
wohsdgsdbxcso,,,,
journeyx,,,,
hardbase,,,,
newsau,,,,
queenslandcountrybank,,,,
creatext,,,,
artomatix,,,,
cumn,,,,4L
treeexit,,,,
icook,,,,5L
petglam,,,,
xn--1di7188m,❌🕉,"Letters + CROSS MARK, OM SYMBOL",,PUNY_IDNA
xn--fxd1c6b3qd,ትምህርት,"Letters + ETHIOPIC SYLLABLE TE, ETHIOPIC SYLLABLE ME, ETHIOPIC SYLLABLE HE, ETHIOPIC SYLLABLE RE, ETHIOPIC SYLLABLE TE",,PUNY_IDNA
xn--sleep,ᔷᔹᔾ,"Letters + CANADIAN SYLLABICS YWOO, CANADIAN SYLLABICS YWA, CANADIAN SYLLABICS Y",,PUNY_IDNA
messagefirst,,,,
depotld,,,,
zoodash,,,,
xn--7dbev,דול,Hebrew,,"PUNY_IDNA,Hebrew"
xn--j3d1v,ፒዛ,"Letters + ETHIOPIC SYLLABLE PI, ETHIOPIC SYLLABLE ZAA",,PUNY_IDNA
rv18,,,,4C
nextwatch,,,,
oceanbot,,,,
oneirology,,,,
venuswater,,,,
bubulcusibis,,,,
seacontact,,,,
taxsmile,,,,
xn--11-5j8d,11月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
f414f,,,,5C
shakefork,,,,
yywww,,,,5L
boatdeep,,,,
secretgold,,,,
sailorfish,,,,
xn--7hvv09b,简易,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--em8ht8f,🤚🏐,"Letters + RAISED BACK OF HAND, VOLLEYBALL",,PUNY_IDNA
weissenbachegg,,,,
riset,,,,5L
fingertea,,,,
changerchar,,,,
xn--vxd2cyi,ባሕር,"Letters + ETHIOPIC SYLLABLE BAA, ETHIOPIC SYLLABLE HHE, ETHIOPIC SYLLABLE RE",,PUNY_IDNA
rat-bag,,,,
arreios,,,,
offersalt,,,,
xn--4k9a,ꥷ,Letters + HANGUL CHOSEONG IEUNG-HIEUH,,PUNY_IDNA
basedcolleges,,,,
xn--m77hka96i,🇮🇳🍴,"Letters + REGIONAL INDICATOR SYMBOL LETTER I, REGIONAL INDICATOR SYMBOL LETTER N, FORK AND KNIFE",,PUNY_IDNA
jumping-betty,,,,
polytomy,,,,
xn--yerbamat-i1a,yerbamaté,Letters + LATIN SMALL LETTER E WITH ACUTE,,PUNY_IDNA
urscha,,,,
newscomau,,,,
xn--6g8hg1c,🌚😍,NEW MOON WITH FACE + SMILING FACE WITH HEART-SHAPED EYES,,PUNY_IDNA
0xroadmap,,,,
xn--xpqr20g,玩伴,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
necrotised,,,,
beachease,,,,
golfforbeginners,,,,
nft4d,,,,5C
xn--sm8h48a,🏞😍,"Letters + NATIONAL PARK, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
xn--3r8hga,💘💛,HEART WITH ARROW + YELLOW HEART,,PUNY_IDNA
starwars-toys,,,,
wittywanderlust,,,,
waterbid,,,,
xn--hpab728e2mx4yp,ʕಠ⌓メʔ,Japanese,,"PUNY_IDNA,Japanese"
wangheim,,,,
olling,,,,
xn--kbru3ai78eyr2a,十题百分,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
waldburg,,,,
viehbach,,,,
convay,,,,
worldforums,,,,
volcani,,,,
woodboy,,,,
xn--u8jil9w,かんこく,Japanese,,"PUNY_IDNA,Japanese"
yhtio,,,,5L
xn--t7hx200ofma,📷👩⚕,"Letters + CAMERA, WOMAN, STAFF OF AESCULAPIUS",,PUNY_IDNA
weisheim,,,,
polopony,,,,
xn--rs8hpy,😷💯,FACE WITH MEDICAL MASK + HUNDRED POINTS SYMBOL,,PUNY_IDNA
xn--toilet-hy84e,🚻toilet,Letters + RESTROOM,,PUNY_IDNA
hugd,,,,4L
noscam,,,,
xn--4kqv49f02g,犯二精,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
yfish,,,,5L
weinling,,,,
pictureapp,,,,
xn--wgbp0bxbdv,عُمَرْ,,,"PUNY_ALT,Arabic"
xn--co2as1x,链表,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--idev-lw4b,i❤dev,LATIN SMALL LETTER I + HEAVY BLACK HEART + LATIN SMALL LETTER D + LATIN SMALL LETTER E + LATIN SMALL LETTER V,,PUNY_IDNA
codinghelp,,,,
foodwash,,,,
xn--r7h0480o,⚓🚦,"Letters + ANCHOR, VERTICAL TRAFFIC LIGHT",,PUNY_IDNA
worldget,,,,
phycography,,,,
feminacy,,,,
shipcats,,,,
xn--no8hx4a,😋🐟,"Letters + FACE SAVOURING DELICIOUS FOOD, FISH",,PUNY_IDNA
typetime,,,,
fishbook,,,,
spiritjunkie,,,,
kienberg,,,,
rivermorning,,,,
