name,expiry,value,maxBid
subdon,17/03/2026 08:40:15,0.0,0.0
shrtct,15/03/2026 13:57:03,2.0,4.0
theauthor,15/03/2026 13:57:03,0.1,1.11
curx,15/03/2026 13:57:03,2.93,5.0
xn--zckm1a5q,15/03/2026 13:57:03,0.0,6.9
xn--www,15/03/2026 13:57:03,51.0,105.0
xn--sw6a,15/03/2026 13:57:03,0.0,0.0
xn--handshak,17/03/2026 08:40:15,0.0,1.13
xn--h4ndsh4k,17/03/2026 08:40:15,0.0,0.0
wyzr,15/03/2026 13:57:03,0.1,37.7
moap,15/03/2026 13:57:03,0.0,0.001
gyst,15/03/2026 13:57:03,2.04,5.0
xn--x7h3371o,15/03/2026 13:57:03,22.2,197.0
smhc,15/03/2026 13:57:03,3.94,5.0
xn--cet63e,15/03/2026 13:57:03,0.0,2.0
gixt,15/03/2026 13:57:03,0.12,0.43
cornida,15/03/2026 13:57:03,0.0,0.41
hnsubs,15/03/2026 13:57:03,10.0,11.0
hsub,15/03/2026 13:57:03,0.0,4.0
hnsub,17/03/2026 08:40:15,0.0,0.0
4fiat,15/03/2026 13:57:03,0.4,1.5
threeights,22/08/2027 00:45:03,0.0,0.0
vyue,15/03/2026 13:57:03,3.001,4.3
subdonames,17/03/2026 08:40:15,0.0,0.0
xn--ngbrx4a2c,15/03/2026 13:57:03,1.0,5.0
subdoname,17/03/2026 08:40:15,0.0,0.618033
pythondev,15/03/2026 13:57:03,60.0,70.0
4earn,15/03/2026 13:57:03,0.51,3.5
0xmon,15/03/2026 13:57:03,1.0,4.0
h4ndsh4k,N/A,0.5,1.618033
threights,17/03/2026 08:40:15,0.0,0.0
handshak,N/A,0.0,0.0
xn--xxags,15/03/2026 13:57:03,0.0,3.0
orbitys,15/03/2026 13:57:03,0.0,0.1
isdev,15/03/2026 13:57:03,1.0,5.0
pikx,15/03/2026 13:57:03,1.04,3.0
knitfest,22/08/2027 00:45:03,0.0,0.0
buzh,15/03/2026 13:57:03,0.01,4.9
subdonaim,17/03/2026 08:40:15,0.0,0.0
top10idols,15/03/2026 13:57:03,0.5,2.0
xn--832a,15/03/2026 13:57:03,7.0,30.0
hnssub,17/03/2026 08:40:15,0.0,0.0
plusdane,N/A,0.0,1.09
top10idol,15/03/2026 13:57:03,0.0,35.0
