name,unicode,descript-IDNA,translate-IDNA,tags,expiry,value,maxBid
qcbmaleny,,,,,26/11/2027 23:11:17,0.0,143.0
dokhma,,,,,,0.0,1.0
xn--0bi8050n,✅🧶,"Letters + WHITE HEAVY CHECK MARK, BALL OF YARN",,PUNY_IDNA,26/11/2027 23:11:17,0.41,4.0
passedaway,,,,,26/11/2027 23:11:17,5.0,46.0
xn--l8h5760o,🙏⚰,"Letters + PERSON WITH FOLDED HANDS, COFFIN",,PUNY_IDNA,26/11/2027 23:11:17,3.24,3.3
xn--ip8hgf,🐽💐,"Letters + PIG NOSE, BOUQUET",,PUNY_IDNA,26/11/2027 23:11:17,6.0,12.8
coffinless,,,,,,0.0,4.0
emort,,,,5L,26/11/2027 23:11:17,0.0,0.0
xn--2p8hw8f,👑🦜,"Letters + CROWN, PARROT",,PUNY_IDNA,26/11/2027 23:11:17,1.0,1.5
knitit,,,,,26/11/2027 23:11:17,0.4,35.0
mawg,,,,4L,26/11/2027 23:11:17,0.0,0.001
xn--v4hx020o,💀☮,"Letters + SKULL, PEACE SYMBOL",,PUNY_IDNA,26/11/2027 23:11:17,0.5,8.5
weepfor,,,,,,0.0,8.0
autistica,,,,,26/11/2027 23:11:17,0.0,0.0
derdeba,,,,,,0.0,1.0
tizm,,,,4L,26/11/2027 23:11:17,0.0,0.01
departedspirit,,,,,,0.0,3.0
soporose,,,,,,0.0,1.0
thelefty,,,,,26/11/2027 23:11:17,0.0,1.0
cistgrave,,,,,,0.0,0.4
xn--2p8hj8h,🫖👑,"Letters + TEAPOT, CROWN",,PUNY_IDNA,26/11/2027 23:11:17,0.0,1.5
askforthetruth,,,,,,0.0,0.0
byhisside,,,,,,0.0,0.0
january21,,,,,26/11/2027 23:11:17,0.0,0.11
katharinelin,,,,,26/11/2027 23:11:17,0.0,120.0
baddeath,,,,,,0.7715,3.0
pgsy,,,,4L,26/11/2027 23:11:17,0.0,0.41
noncoherent,,,,,,0.0,6.0
dirge,,,,5L,26/11/2027 23:11:17,0.01,0.41
qcbm,,,,4L,26/11/2027 23:11:17,0.12,0.4
witheredandfrail,,,,,26/11/2027 23:11:17,0.0,0.0
cessationoflife,,,,,,0.0,2.0
debtofnature,,,,,,0.0,3.0
xn--dv8hy3g,🔊🪦,"Letters + SPEAKER WITH THREE SOUND WAVES, HEADSTONE",,PUNY_IDNA,26/11/2027 23:11:17,0.0,0.5
000acc,,,,,26/11/2027 23:11:17,0.0,0.0
quiltingjokes,,,,,26/11/2027 23:11:17,0.0,1.0
xn--fr8hnh,📷💀,"Letters + CAMERA, SKULL",,PUNY_IDNA,26/11/2027 23:11:17,0.0,1.0
bonehouse,,,,,,0.0,0.4
klnerd,,,,,26/11/2027 23:11:17,2.93,9.0
lifeyet,,,,,26/11/2027 23:11:17,0.01,2.0
houseofdeath,,,,,,0.0,2.0
katharin,,,,,26/11/2027 23:11:17,0.0,21.0
gointohysterics,,,,,,0.0,3.0
1nt3r,,,,5C,,0.0,0.0
commemorate,,,,,26/11/2027 23:11:17,2.0,20.0
deathpoem,,,,,26/11/2027 23:11:17,39.0,41.5
katharinlin,,,,,26/11/2027 23:11:17,0.0,17.0
dyun,,,,4L,26/11/2027 23:11:17,1.26,2.01
ossarium,,,,,,0.0,14.0
10april,,,,,26/11/2027 23:11:17,20.0,25.0
alzheimersearlysigns,,,,,26/11/2027 23:11:17,0.0,5.0
cepotaph,,,,,,0.0,2.0
txez,,,,4L,26/11/2027 23:11:17,0.5,0.51
xn--0nxp41g,骨灰,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK",26/11/2027 23:11:17,0.661,20.0
776aa7,,,,,26/11/2027 23:11:17,0.0,90.0
funrip,,,,,26/11/2027 23:11:17,0.212,7.0
