name,expiry,value,maxBid
qcbmaleny,26/11/2027 23:11:17,0.0,143.0
dokhma,N/A,0.0,1.0
xn--0bi8050n,26/11/2027 23:11:17,0.41,4.0
passedaway,26/11/2027 23:11:17,5.0,46.0
xn--l8h5760o,26/11/2027 23:11:17,3.24,3.3
xn--ip8hgf,26/11/2027 23:11:17,6.0,12.8
coffinless,N/A,0.0,4.0
emort,26/11/2027 23:11:17,0.0,0.0
xn--2p8hw8f,26/11/2027 23:11:17,1.0,1.5
knitit,26/11/2027 23:11:17,0.4,35.0
mawg,26/11/2027 23:11:17,0.0,0.001
xn--v4hx020o,26/11/2027 23:11:17,0.5,8.5
weepfor,N/A,0.0,8.0
autistica,26/11/2027 23:11:17,0.0,0.0
derdeba,N/A,0.0,1.0
tizm,26/11/2027 23:11:17,0.0,0.01
departedspirit,N/A,0.0,3.0
soporose,N/A,0.0,1.0
thelefty,26/11/2027 23:11:17,0.0,1.0
cistgrave,N/A,0.0,0.4
xn--2p8hj8h,26/11/2027 23:11:17,0.0,1.5
askforthetruth,N/A,0.0,0.0
byhisside,N/A,0.0,0.0
january21,26/11/2027 23:11:17,0.0,0.11
katharinelin,26/11/2027 23:11:17,0.0,120.0
baddeath,N/A,0.7715,3.0
pgsy,26/11/2027 23:11:17,0.0,0.41
noncoherent,N/A,0.0,6.0
dirge,26/11/2027 23:11:17,0.01,0.41
qcbm,26/11/2027 23:11:17,0.12,0.4
witheredandfrail,26/11/2027 23:11:17,0.0,0.0
cessationoflife,N/A,0.0,2.0
debtofnature,N/A,0.0,3.0
xn--dv8hy3g,26/11/2027 23:11:17,0.0,0.5
000acc,26/11/2027 23:11:17,0.0,0.0
quiltingjokes,26/11/2027 23:11:17,0.0,1.0
xn--fr8hnh,26/11/2027 23:11:17,0.0,1.0
bonehouse,N/A,0.0,0.4
klnerd,26/11/2027 23:11:17,2.93,9.0
lifeyet,26/11/2027 23:11:17,0.01,2.0
houseofdeath,N/A,0.0,2.0
katharin,26/11/2027 23:11:17,0.0,21.0
gointohysterics,N/A,0.0,3.0
1nt3r,N/A,0.0,0.0
commemorate,26/11/2027 23:11:17,2.0,20.0
deathpoem,26/11/2027 23:11:17,39.0,41.5
katharinlin,26/11/2027 23:11:17,0.0,17.0
dyun,26/11/2027 23:11:17,1.26,2.01
ossarium,N/A,0.0,14.0
10april,26/11/2027 23:11:17,20.0,25.0
alzheimersearlysigns,26/11/2027 23:11:17,0.0,5.0
cepotaph,N/A,0.0,2.0
txez,26/11/2027 23:11:17,0.5,0.51
xn--0nxp41g,26/11/2027 23:11:17,0.661,20.0
776aa7,26/11/2027 23:11:17,0.0,90.0
funrip,26/11/2027 23:11:17,0.212,7.0
xn--mo8hz4a,26/11/2027 23:11:17,0.4207,2.1
usegold,26/11/2027 23:11:17,0.878,2.0
xn--cz8h83e,26/11/2027 23:11:17,0.0,1.0
xn--w9b5a,26/11/2027 23:11:17,0.42,0.44
deathstories,26/11/2027 23:11:17,1.003,5.0
declineoflife,N/A,0.0,1.0
trrx,26/11/2027 23:11:17,0.1,0.41
dependon,N/A,0.0,1.0
utism,26/11/2027 23:11:17,5.01,50.2
gofuneral,N/A,0.876,2.0
xn--2p8hj4g,26/11/2027 23:11:17,0.0,0.5
studio23,26/11/2027 23:11:17,0.0,257.0
weepover,N/A,0.0,8.0
burialchamber,N/A,0.0,2.0
0000ac,26/11/2027 23:11:17,0.0,0.5
myaccounting,26/11/2027 23:11:17,0.01,15.0
widowly,N/A,0.414999,2.0
netherworlds,N/A,0.0,3.0
xn--2p8hk4g,26/11/2027 23:11:17,0.0,0.5
cowrie,26/11/2027 23:11:17,0.0,1.0
