name,expiry,value,maxBid
xn--w55l,18/01/2027 09:59:17,0.001,4.0
purpleland,18/01/2027 09:59:17,0.0,4.0
thzotr,15/02/2027 01:20:53,0.0,0.0
853211,18/01/2027 09:59:17,0.0,1.0
jmms,18/01/2027 09:59:17,0.0,30.0
tozrht,15/02/2027 01:20:53,0.0,0.0
angleworm,18/01/2027 09:59:17,0.0,1.0
bamrush,18/01/2027 09:59:17,1.010001,4.0
el-nino,18/01/2027 09:59:17,0.1,13.0
hrtohs,15/02/2027 01:20:53,0.0,0.0
faxun,18/01/2027 09:59:17,10.0,132.0
trthso,15/02/2027 01:20:53,0.0,0.0
actgovau,18/01/2027 09:59:17,0.37,134.0
xn--i18hb,18/01/2027 09:59:17,2.99,10.01
death-bell,18/01/2027 09:59:17,0.3,4.0
timothym,18/01/2027 09:59:17,1.19,163.0
timax4l,18/01/2027 09:59:17,0.5,5.51
heala,18/01/2027 09:59:17,0.36,11.0
trhots,15/02/2027 01:20:53,0.0,0.0
trztoh,15/02/2027 01:20:53,0.0,0.0
brittneysmith,18/01/2027 09:59:17,1.21,14.0
oldcute,18/01/2027 09:59:17,0.5,4.0
kidsnames,18/01/2027 09:59:17,0.01,4.0
questtracking,22/08/2027 02:32:53,0.0,21.45
xn--b2wz32c,18/01/2027 09:59:17,0.66,1.0
throst,15/02/2027 01:20:53,0.0,22.0
hrothzt,15/02/2027 01:20:53,0.0,0.0
creepyoldphotos,18/01/2027 09:59:17,0.0,1.0
streuth,18/01/2027 09:59:17,0.42,27.0
amazingdeath,18/01/2027 09:59:17,71.0,97.0
xn--n3cpfk1fc7m,18/01/2027 09:59:17,0.0,176.0
simpledish,18/01/2027 09:59:17,0.0,0.4
xn--fotoraf-qbb9n,18/01/2027 09:59:17,12.2,254.0
otrhzt,15/02/2027 01:20:53,0.0,0.0
rstho,15/02/2027 01:20:53,0.0,0.0
nftphotography,18/01/2027 09:59:17,91.0,476.0
xn--tu8hq1e,18/01/2027 09:59:17,0.0,1.0
allwise,18/01/2027 09:59:17,10.0,17.0
rthso,15/02/2027 01:20:53,0.0,0.0
8cru,18/01/2027 09:59:17,0.0,1.0
hnsih,18/01/2027 09:59:17,3.0,12.5
3dvidio,18/01/2027 09:59:17,1.0,2.0
htxotr,15/02/2027 01:20:53,0.0,0.0
