name,unicode,descript-IDNA,translate-IDNA,tags,price_hns,status
example,,,,,100.0,ACTIVE
xn--e1afmkfd,пример,Cyrillic (Russian/Ukrainian),example,"PUNY_IDNA,Cyrillic",250.0,ACTIVE
testdomain,,,,,50.0,ACTIVE
xn--wgbh1c,مصر,Arabic/Urdu/Uyghur,Egypt,"PUNY_IDNA,Arabic",500.0,ACTIVE
demo-name,,,,,75.0,ACTIVE
myname,,,,,150.0,ACTIVE
xn--mgbaam7a8h,امارات,Arabic/Urdu/Uyghur,Emirates,"PUNY_IDNA,Arabic",300.0,ACTIVE
blockchain,,,,,1000.0,ACTIVE
web3domain,,,,,200.0,ACTIVE
xn--80akhbyknj4f,испытание,Cyrillic (Russian/Ukrainian),trial,"PUNY_IDNA,Cyrillic",400.0,ACTIVE
