name,unicode,descript-IDNA,translate-IDNA,tags,price_hns,status,email
example,,,,,100.0,ACTIVE,seller@example.com
xn--e1afmkfd,пример,Cyrillic (Russian/Ukrainian),example,"PUNY_IDNA,Cyrillic",250.0,ACTIVE,seller@example.com
testdomain,,,,,50.0,ACTIVE,contact@domain.com
xn--wgbh1c,مصر,Arabic/Urdu/Uyghur,Egypt,"PUNY_IDNA,Arabic",500.0,ACTIVE,owner@mail.com
demo-name,,,,,75.0,ACTIVE,demo@example.com
myname,,,,,150.0,ACTIVE,seller@example.com
xn--mgbaam7a8h,امارات,Arabic/Urdu/Uyghur,Emirates,"PUNY_IDNA,Arabic",300.0,ACTIVE,seller@example.com
blockchain,,,,,1000.0,ACTIVE,premium@domains.com
web3domain,,,,,200.0,ACTIVE,seller@example.com
xn--80akhbyknj4f,испытание,Cyrillic (Russian/Ukrainian),trial,"PUNY_IDNA,Cyrillic",400.0,ACTIVE,seller@example.com
