domain,for_sale,price,description,owner,expiry,unicode,descript-IDNA,translate-IDNA,tags
example,True,100.0,Example domain,owner1,2025-12-31,,,,
xn--e1afmkfd,True,250.0,Premium unicode domain,owner1,2025-12-31,пример,,,"PUNY_IDNA,Cyrillic"
testdomain,False,0.0,Not for sale,owner2,2025-11-30,,,,
xn--wgbh1c,True,500.0,Arabic domain,owner3,2026-01-15,مصر,,,"PUNY_IDNA,Arabic"
demo-name,True,75.0,Demo purposes,owner1,2025-10-20,,,,
myname,False,0.0,Personal domain,owner4,2025-12-01,,,,
xn--mgbaam7a8h,True,300.0,Emoji domain,owner1,2025-12-31,امارات,,,"PUNY_IDNA,Arabic"
blockchain,True,1000.0,Premium keyword,owner5,2026-03-15,,,,
web3domain,True,200.0,Web3 related,owner1,2025-12-31,,,,
xn--80akhbyknj4f,True,400.0,Russian domain,owner3,2026-02-10,испытание,,,"PUNY_IDNA,Cyrillic"
