domain,price,description,for_sale,personal_store,auto_renew,tags,unicode,descript-IDNA,translate-IDNA
laydee,111.0,,False,True,True,,,,
moneyisdead,55.0,,False,True,True,,,,
airpaper,55.0,,False,True,True,,,,
folkbook,55.0,,False,True,True,,,,
koreataekwondo,,,False,True,True,,,,
inorderto,22.0,,False,True,True,,,,
recorrio,333.0,"ES 'toured, verb: travel, walk, tour'",False,True,True,,,,
habilito,33.0,"ES 'enable, qualify'",False,True,True,,,,
medibazaar,22.0,,False,True,True,,,,
chartz,111.0,,False,True,True,,,,
badneck,22.0,,False,True,True,,,,
twoboss,22.0,,False,True,True,,,,
fatalcohol,22.0,fatal alcohol | fat alcohol,False,True,True,,,,
focillate,11.0,IT 'focus | Latin 'mobilize',False,True,True,,,,
ciertas,44.0,"ES 'certain, sure, definite'",False,True,True,,,,
sirgas,22.0,,False,True,True,,,,
momhost,22.0,,False,True,True,,,,
linguisticsai,44.0,,False,True,True,,,,
centones,11.0,,False,True,True,,,,
dadsell,22.0,,False,True,True,,,,
bogearth,11.0,,False,True,True,,,,
edibleking,44.0,,False,True,True,,,,
dayperson,22.0,,False,True,True,,,,
tablista,55.0,"ES 'surfer, windsurfer'",False,True,True,,,,
adatao,22.0,,False,True,True,,,,
layawager,22.22,,False,True,True,,,,
shakendip,22.0,,False,True,True,,,,
elimits,44.0,,False,True,True,,,,
lunchtimes,33.0,,False,True,True,,,,
foodreactions,22.0,,False,True,True,,,,
gynecomania,22.0,Extreme sexual desire in the male; a compulsive desire for female sex partners,False,True,True,,,,
italianization,44.0,,False,True,True,,,,
deosculate,11.0,to kiss affectionately,False,True,True,,,,
ny-us,555.0,,False,True,True,5C,,,
waytask,22.0,,False,True,True,,,,
xhack,222.0,,False,True,True,5L,,,
twoloan,22.0,,False,True,True,,,,
sadguide,11.0,,False,True,True,,,,
garlicmayo,44.0,,False,True,True,,,,
yodelist,33.0,,False,True,True,,,,
ens4you,44.0,,False,True,True,,,,
xn--ehq95fexb6w6e,360.0,CH\ZH ‘360’,False,True,True,"PUNY_IDNA,CJK",三百六十,Chinese/Japanese/Korean,three hundred and sixty
xn--45qa42l6w6e,88.0,CH\ZH ‘880’,False,True,True,"PUNY_IDNA,CJK",八百八十,Chinese/Japanese/Korean,eight hundred and eighty
dadstrain,11.0,,False,True,True,,,,
