domain,price,description,for_sale,personal_store,auto_renew,unicode,descript-IDNA,translate-IDNA,tags
xn--69qa8270d,,,False,False,True,龙凹凹,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--cjzu29a3zn,,,False,False,True,黑神话,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--4gq537o9vbc6b,,,False,False,True,驼一阵风,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--x8t30ksr4c,,,False,False,True,风无怨,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--53tu51j,,,False,False,True,长征,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--prrz31l,,,False,False,True,遥吻,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--ect323j,,"CH/ZH 'overnight' [adverb: overnight, all night long, the whole night]",False,False,True,通宵,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--fhq102n,,,False,False,True,迷上,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--g23a,,,False,False,True,輟,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--g02a,,,False,False,True,訐,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--look,,,False,False,True,䕳䕸,"Letters + CJK UNIFIED IDEOGRAPH-4573, CJK UNIFIED IDEOGRAPH-4578",,PUNY_IDNA
xn--45qu04cprp,,,False,False,True,紅八月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--uvz,,"CH/ZH 'Pen' [noun: pen, pencil, stroke; verb: write, compose]",False,False,True,笔,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--ehq45fkxb6w6e,,CH/ZH '183',False,False,True,百八十三,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--lcy850f,,,False,False,True,玩风,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--z7xaa,333,CH/ZH 'cat cat cat',True,True,True,猫猫猫,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--24x,8888,CH/ZH 'mad',True,True,True,狅,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--gmqq18e,,,False,False,True,游人,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--00w46q,333,CHZH ‘white’,True,True,True,浮白,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--tfr361du9f,,,False,False,True,沈力男,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--94qv64c,,,False,False,True,未免,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--gmq182bese,,,False,False,True,无心人,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--5suv74k,,,False,False,True,拉麵,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--ltr54y,,,False,False,True,性命,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--qrq961b,,,False,False,True,怂佳,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--p5t330d,,,False,False,True,德稻,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--fiq23l18g,,,False,False,True,安可中,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
