domain,unicode,tags,price,description,for_sale,personal_store,auto_renew
10170,,,10,,TRUE,TRUE,TRUE
24680,,,111,,TRUE,TRUE,TRUE
700101,,,700101,,TRUE,TRUE,TRUE
1011970,,,10,,TRUE,TRUE,TRUE
13572468,,,1122,,TRUE,TRUE,TRUE
19700101,,,11,700101,TRUE,TRUE,TRUE
10100111001,,,7331,binary of 1337 decimal [leet = elite],TRUE,TRUE,TRUE
000acr,,,99,ooo's of acres [for sale],TRUE,TRUE,TRUE
00no,,,222,oooohh nooo...!\n Get https://www.namebase.io/domains/onoo too!,TRUE,TRUE,TRUE
00zy,,,55,ooozy :-) slime!,TRUE,TRUE,TRUE
0level,,,55,,TRUE,TRUE,TRUE
0x00club,,,222,,TRUE,TRUE,TRUE
0xtax,,,,[kath],FALSE,FALSE,TRUE
0xusa,,,222,,TRUE,TRUE,TRUE
0xvc,,,1234,,TRUE,TRUE,TRUE
1000words,,,1111,Just picture it .....!,TRUE,TRUE,TRUE
2040ad,,,22,,TRUE,TRUE,TRUE
2050ad,,,22,,TRUE,TRUE,TRUE
2060ad,,,22,,TRUE,TRUE,TRUE
2070ad,,,22,,TRUE,TRUE,TRUE
2080ad,,,22,,TRUE,TRUE,TRUE
247w3,,,111,,TRUE,TRUE,TRUE
2finity,,,22,,TRUE,TRUE,TRUE
365health,,,444,,FALSE,FALSE,TRUE
4zen,,,444,,TRUE,TRUE,TRUE
52-cardpickup,,,52,,TRUE,TRUE,TRUE
696-696,,,22,,TRUE,TRUE,TRUE
6gun,,,666,,TRUE,TRUE,TRUE
7two7,,,22,,TRUE,TRUE,TRUE
aaalife,,,222,,FALSE,FALSE,TRUE
aac1,,,1234,,TRUE,TRUE,TRUE
abau,,,77,,TRUE,TRUE,TRUE
abcdiners,,,22,,TRUE,TRUE,TRUE
abcloudz,,,22,,FALSE,FALSE,TRUE
abrogating,,,55,Now abrogating this domain .. care to take it off my hands..?,TRUE,TRUE,TRUE
acciontrabajo,,,11,ES action work,TRUE,TRUE,TRUE
activewager,,,22,,TRUE,TRUE,TRUE
adatao,,,22,,TRUE,TRUE,TRUE
addresso,,,11,,TRUE,TRUE,TRUE
adh4,,,1234,"Of course, anyone ADHD will hav realised the fourth letter is 'D' lol :-) !",TRUE,TRUE,TRUE
adu0,,,444,a Duo,TRUE,TRUE,TRUE
afo0,,,444,a Foo was 'ere :-),TRUE,TRUE,TRUE
afrostudio,,,22,,TRUE,TRUE,TRUE
agemoon,,,22,,TRUE,TRUE,TRUE
ageright,,,22,,FALSE,FALSE,TRUE
agiftforyou,,,55,,TRUE,TRUE,TRUE
aievolves,,,55,,TRUE,TRUE,TRUE
aiguides,,,222,,TRUE,TRUE,TRUE
aiquery,,,222,,TRUE,TRUE,TRUE
airpaper,,,55,,TRUE,TRUE,TRUE
airside,,,22,,FALSE,FALSE,TRUE
aklame,,,55,Haitian Creole 'acclaimed',TRUE,TRUE,TRUE
alienfistbump,,,11,,TRUE,TRUE,TRUE
allfact,,,22,,TRUE,TRUE,TRUE
allmugs,,,22,,TRUE,TRUE,TRUE
alphashake,,,33,,TRUE,TRUE,TRUE
altcoinfans,,,44,,TRUE,TRUE,TRUE
alwayslost,,,22,,TRUE,TRUE,TRUE
amazingpoetry,,,11,,TRUE,TRUE,TRUE
ambonga,,,11,,TRUE,TRUE,TRUE
amemelord,,,22,,TRUE,TRUE,TRUE
amemesia,,,22,"A disorder, where in which a person sends a meme to the same person again, or to whom initially showed them the same meme",TRUE,TRUE,TRUE
amibisexual,,,22,,TRUE,TRUE,TRUE
amwongg,,,11,,TRUE,TRUE,TRUE
andata,,,222,and data [OR .. IT 'gone'],TRUE,TRUE,TRUE
andudu,,,111,".. and doodoo .. well, wot a load of ..........!",TRUE,TRUE,TRUE
annualsailingtrip,,,,,FALSE,FALSE,TRUE
anonone,,,1111,,TRUE,TRUE,TRUE
anypain,,,22,,TRUE,TRUE,TRUE
apatetic,,,,,FALSE,FALSE,TRUE
apefriend,,,33,,TRUE,TRUE,TRUE
apes3d,,,333,,TRUE,TRUE,TRUE
apeshub,,,111,,TRUE,TRUE,TRUE
apesmint,,,22,,TRUE,TRUE,TRUE
apisweb,,,22,,TRUE,TRUE,TRUE
apktech,,,111,,TRUE,TRUE,TRUE
apologyvideo,,,22,,TRUE,TRUE,TRUE
app1a,,,22,,TRUE,TRUE,TRUE
appproposal,,,22,,TRUE,TRUE,TRUE
arcadeshop,,,22,,TRUE,TRUE,TRUE
archiex,,,22,,TRUE,TRUE,TRUE
arealmaps,,,11,,TRUE,TRUE,TRUE
arewehere,,,11,,TRUE,TRUE,TRUE
argolas,,,22,"PT ring, hoop, link",TRUE,TRUE,TRUE
arrieiro,,,11,Galician carrier,TRUE,TRUE,TRUE
arroiodaseca,,,11,PT stream-drought,TRUE,TRUE,TRUE
arsenal-fan,,,33,,TRUE,TRUE,TRUE
arsit,,,11,,TRUE,TRUE,TRUE
artgalley,,,33,,TRUE,TRUE,TRUE
artmajors,,,22,,TRUE,TRUE,TRUE
artofzoo,,,55,,TRUE,TRUE,TRUE
artpsycho,,,22,,TRUE,TRUE,TRUE
artutor,,,44,,TRUE,TRUE,TRUE
asianextension,,,11,,TRUE,TRUE,TRUE
asianeye,,,55,,TRUE,TRUE,TRUE
asiansupplies,,,55,,TRUE,TRUE,TRUE
ask8ball,,,111,,TRUE,TRUE,TRUE
asktheinternet,,,222,,TRUE,TRUE,TRUE
assassassin,,,22,,TRUE,TRUE,TRUE
assassina,,,22,,TRUE,TRUE,TRUE
astrodawn,,,55,,TRUE,TRUE,TRUE
astronews,,,66,,TRUE,TRUE,TRUE
ate88,,,888,,TRUE,TRUE,TRUE
atimise,,,11,,TRUE,TRUE,TRUE
aussiemuscle,,,555,,TRUE,TRUE,TRUE
australianmuscle,,,555,,TRUE,TRUE,TRUE
autospecialties,,,11,,TRUE,TRUE,TRUE
avogadrian,,,22,,TRUE,TRUE,TRUE
awesomemaxim,,,11,,TRUE,TRUE,TRUE
awetastic,,,22,,TRUE,TRUE,TRUE
axinim,,,22,axin' 'im [giving him the boot\sack],TRUE,TRUE,TRUE
azevedosodre,,,22,PT sourdough,TRUE,TRUE,TRUE
aztecmask,,,22,,TRUE,TRUE,TRUE
b4buy,,,22,,TRUE,TRUE,TRUE
baba-jaga,,,22,,TRUE,TRUE,TRUE
babywagon,,,22,,TRUE,TRUE,TRUE
bacchic,,,22,,TRUE,TRUE,TRUE
badburger,,,33,,TRUE,TRUE,TRUE
badkarma,,,11,,TRUE,TRUE,TRUE
badneck,,,22,,TRUE,TRUE,TRUE
bagaco,,,222,bag a co [grab a company] \ PT 'brandy',TRUE,TRUE,TRUE
baiabranca,,,22,PT white bay,TRUE,TRUE,TRUE
bamnia,,,22,"Jhabua district, Madhya Pradesh, India",TRUE,TRUE,TRUE
banagram,,,22,,TRUE,TRUE,TRUE
bananapocket,,,22,"Town in Whitsunday (Queensland) is a town in Australia ... or .. is that a banana in your pocket, or are you just glad to see me...?",TRUE,TRUE,TRUE
banbaria,,,22,,TRUE,TRUE,TRUE
bangaroo,,,444,Just don't ask awkward questions.......!,FALSE,FALSE,TRUE
barbituism,,,,,FALSE,FALSE,TRUE
bardish,,,55,,TRUE,TRUE,TRUE
barnaclebob,,,11,"An octopus from the Freddi Fish series; he always says everything in rhyme.... OR .... A celebrity living among a group of people, unknown.",TRUE,TRUE,TRUE
barnap,,,22,,TRUE,TRUE,TRUE
basicpets,,,22,,TRUE,TRUE,TRUE
bboying,,,22,,TRUE,TRUE,TRUE
beastepic,,,22,,TRUE,TRUE,TRUE
beefprice,,,111,,TRUE,TRUE,TRUE
beerfeast,,,22,,TRUE,TRUE,TRUE
beltandroadinitiative,,,11,china,TRUE,TRUE,TRUE
bestauthors,,,33,,TRUE,TRUE,TRUE
bestcoins,,,444,,TRUE,TRUE,TRUE
bestdealtoday,,,22,,TRUE,TRUE,TRUE
bestdishes,,,55,,TRUE,TRUE,TRUE
bestsoundtrack,,,11,,TRUE,TRUE,TRUE
bet-wins,,,22,,TRUE,TRUE,TRUE
betquit,,,55,,TRUE,TRUE,TRUE
betraders,,,22,,TRUE,TRUE,TRUE
biairdrop,,,22,,TRUE,TRUE,TRUE
bicyclegenerator,,,33,,TRUE,TRUE,TRUE
bidblitz,,,22,,TRUE,TRUE,TRUE
biddeston,,,22,"Rural town and locality in the Toowoomba Region, Queensland, Australia. In the 2016 census, Biddeston had a population of 284 people.",TRUE,TRUE,TRUE
biddingworks,,,22,,TRUE,TRUE,TRUE
bidonart,,,55,,TRUE,TRUE,TRUE
bigbell,,,22,,TRUE,TRUE,TRUE
bigbog,,,55,,TRUE,TRUE,TRUE
bighandshake,,,555,,TRUE,TRUE,TRUE
bikehazard,,,11,,TRUE,TRUE,TRUE
binaryarea,,,22,,TRUE,TRUE,TRUE
biologyforkids,,,22,,TRUE,TRUE,TRUE
birdlime,,,22,,TRUE,TRUE,TRUE
birthchip,,,44,,TRUE,TRUE,TRUE
birthdaybot,,,22,,TRUE,TRUE,TRUE
bitcoinstacker,,,111,,TRUE,TRUE,TRUE
blackflat,,,22,"coffee, or bitumen ... ?? :-)",TRUE,TRUE,TRUE
blackmount,,,111,,TRUE,TRUE,TRUE
blankbackground,,,11,,TRUE,TRUE,TRUE
bligation,,,22,,TRUE,TRUE,TRUE
blockcorp,,,1515,,TRUE,TRUE,TRUE
blood-sausage,,,11,,TRUE,TRUE,TRUE
bloodbone,,,111,,TRUE,TRUE,TRUE
bloodinstinct,,,22,,TRUE,TRUE,TRUE
blowagasket,,,22,,TRUE,TRUE,TRUE
blueknob,,,22,,TRUE,TRUE,TRUE
bluesartists,,,33,,TRUE,TRUE,TRUE
bluetoothearrings,,,11,,TRUE,TRUE,TRUE
bluetrips,,,22,,TRUE,TRUE,TRUE
bluffrock,,,22,,TRUE,TRUE,TRUE
bmxmag,,,55,,TRUE,TRUE,TRUE
boassa,,,99,PT 'goodness',TRUE,TRUE,TRUE
boatdeck,,,,,FALSE,FALSE,TRUE
bodgi,,,222,,TRUE,TRUE,TRUE
bogearth,,,11,,TRUE,TRUE,TRUE
boggyplain,,,11,,TRUE,TRUE,TRUE
bokowen,,,55,Polish sideways,TRUE,TRUE,TRUE
bolshoylog,,,22,"Botanical reserve of regional importance in Krasnensky District of the Belgorod Oblast, Russia.",TRUE,TRUE,TRUE
bongaverse,,,55,,TRUE,TRUE,TRUE
bookcircus,,,33,,TRUE,TRUE,TRUE
booksused,,,22,,TRUE,TRUE,TRUE
booktrain,,,22,,TRUE,TRUE,TRUE
bookyards,,,22,,TRUE,TRUE,TRUE
boot-leg,,,22,,TRUE,TRUE,TRUE
bootos,,,3333,boot OS,TRUE,TRUE,TRUE
boredaip,,,55,,TRUE,TRUE,TRUE
bosseye,,,555,In jamaica this word means looking or waiting for a bus; in trinidad it means looking or wanting to get punched [urbandictionary].,TRUE,TRUE,TRUE
boundaryrider,,,33,,TRUE,TRUE,TRUE
branchise,,,444,,TRUE,TRUE,TRUE
brandget,,,22,,TRUE,TRUE,TRUE
brilo,,,22,,TRUE,TRUE,TRUE
brokenigger,,,55,broke nigger | broken nigger,TRUE,TRUE,TRUE
bromised,,,22,bro promise[d],TRUE,TRUE,TRUE
brooklyntourism,,,22,,FALSE,FALSE,TRUE
bruijst,,,44,Dutch 'fizz',TRUE,TRUE,TRUE
btc_archive,,,666,,TRUE,TRUE,TRUE
btcprincess,,,444,,TRUE,TRUE,TRUE
btcsimilar,,,99,,TRUE,TRUE,TRUE
btcstockpile,,,111,,TRUE,TRUE,TRUE
bucketing,,,22,,TRUE,TRUE,TRUE
budslaw,,,22,,TRUE,TRUE,TRUE
buggerie,,,22,,TRUE,TRUE,TRUE
buidlweb3,,,33,,TRUE,TRUE,TRUE
buildmake,,,4444,,TRUE,TRUE,TRUE
