domain,price,description,for_sale,personal_store,auto_renew
"laydee",111,,FALSE,TRUE,TRUE
"moneyisdead",55,,FALSE,TRUE,TRUE
"airpaper",55,,FALSE,TRUE,TRUE
"folkbook",55,,FALSE,TRUE,TRUE
"koreataekwondo",,,FALSE,TRUE,TRUE
"inorderto",22,,FALSE,TRUE,TRUE
"recorrio",333,"ES 'toured, verb: travel, walk, tour'",FALSE,TRUE,TRUE
"habilito",33,"ES 'enable, qualify'",FALSE,TRUE,TRUE
"medibazaar",22,,FALSE,TRUE,TRUE
"chartz",111,,FALSE,TRUE,TRUE
"badneck",22,,FALSE,TRUE,TRUE
"twoboss",22,,FALSE,TRUE,TRUE
"fatalcohol",22,"fatal alcohol | fat alcohol",FALSE,TRUE,TRUE
"focillate",11,"IT 'focus | Latin 'mobilize'",FALSE,TRUE,TRUE
"ciertas",44,"ES 'certain, sure, definite'",FALSE,TRUE,TRUE
"sirgas",22,,FALSE,TRUE,TRUE
"momhost",22,,FALSE,TRUE,TRUE
"linguisticsai",44,,FALSE,TRUE,TRUE
"centones",11,,FALSE,TRUE,TRUE
"dadsell",22,,FALSE,TRUE,TRUE
"bogearth",11,,FALSE,TRUE,TRUE
"edibleking",44,,FALSE,TRUE,TRUE
"dayperson",22,,FALSE,TRUE,TRUE
"tablista",55,"ES 'surfer, windsurfer'",FALSE,TRUE,TRUE
"adatao",22,,FALSE,TRUE,TRUE
"layawager",22.22,,FALSE,TRUE,TRUE
"shakendip",22,,FALSE,TRUE,TRUE
"elimits",44,,FALSE,TRUE,TRUE
"lunchtimes",33,,FALSE,TRUE,TRUE
"foodreactions",22,,FALSE,TRUE,TRUE
"gynecomania",22,"Extreme sexual desire in the male; a compulsive desire for female sex partners",FALSE,TRUE,TRUE
"italianization",44,,FALSE,TRUE,TRUE
"deosculate",11,"to kiss affectionately",FALSE,TRUE,TRUE
"ny-us",555,,FALSE,TRUE,TRUE
"waytask",22,,FALSE,TRUE,TRUE
"xhack",222,,FALSE,TRUE,TRUE
"twoloan",22,,FALSE,TRUE,TRUE
"sadguide",11,,FALSE,TRUE,TRUE
"garlicmayo",44,,FALSE,TRUE,TRUE
"yodelist",33,,FALSE,TRUE,TRUE
"ens4you",44,,FALSE,TRUE,TRUE
"xn--ehq95fexb6w6e",360,"CH\ZH ‘360’",FALSE,TRUE,TRUE
"xn--45qa42l6w6e",88,"CH\ZH ‘880’",FALSE,TRUE,TRUE
"dadstrain",11,,FALSE,TRUE,TRUE
"dollaryo",44,,FALSE,TRUE,TRUE
"sirwish",22,,FALSE,TRUE,TRUE
"it-hub",88,,FALSE,TRUE,TRUE
"dadworry",11,,FALSE,TRUE,TRUE
"yearnto",22,,FALSE,TRUE,TRUE
"mompolicy",11,,FALSE,TRUE,TRUE
"nothingmax",22.22,,FALSE,TRUE,TRUE
"lowlust",11,,FALSE,TRUE,TRUE
"momdear",11,,FALSE,TRUE,TRUE
"letterers",111,,FALSE,TRUE,TRUE
"salutoria",22,"IT 'salutary'",FALSE,TRUE,TRUE
"buidlweb3",33,,FALSE,TRUE,TRUE
"lowrage",11,,FALSE,TRUE,TRUE
"lustfor",22,,FALSE,TRUE,TRUE
"alwayslost",22,,FALSE,TRUE,TRUE
"mybrokensea",22,,FALSE,TRUE,TRUE
